Gender,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,HasStreaming
Male,No,No,18,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,63,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,Yes,Yes,66,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,34,Yes,Yes,No,Two year,low,No,No
Female,No,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,No,47,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,60,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,72,No,No,DSL,Two year,low,No,No
Female,Yes,Yes,18,Yes,No,DSL,One year,low,No,No
Female,No,No,9,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,3,Yes,No,DSL,Month-to-month,high,No,Yes
Male,Yes,No,47,Yes,Yes,Fiber optic,One year,high,No,No
Female,No,No,31,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,Yes,50,Yes,No,No,Two year,low,No,No
Male,No,No,10,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,52,Yes,No,No,One year,low,No,No
Male,Yes,Yes,64,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,Yes,62,Yes,Yes,No,Two year,low,No,No
Female,No,Yes,3,Yes,No,DSL,Month-to-month,high,No,Yes
Female,No,No,56,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,46,Yes,No,DSL,One year,low,No,Yes
Female,Yes,Yes,8,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,30,Yes,No,DSL,Month-to-month,high,No,Yes
Female,Yes,Yes,45,Yes,Yes,No,One year,low,No,No
Female,No,Yes,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,11,No,No,DSL,Month-to-month,low,No,Yes
Female,Yes,No,7,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,42,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,49,Yes,No,No,Two year,low,No,No
Male,No,No,9,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,35,Yes,No,DSL,One year,high,No,Yes
Female,Yes,Yes,48,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,46,Yes,No,No,Two year,low,No,No
Male,Yes,No,29,No,No,DSL,Month-to-month,low,No,Yes
Male,Yes,Yes,30,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,Yes,Yes,66,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,65,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,No,No,12,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,71,Yes,Yes,DSL,One year,high,No,No
Male,No,No,5,Yes,No,No,Month-to-month,low,Yes,No
Male,No,No,52,Yes,No,No,Two year,low,No,No
Female,Yes,No,25,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Female,Yes,Yes,1,Yes,No,No,Month-to-month,low,No,No
Male,No,No,38,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,No,66,No,No,DSL,One year,low,No,Yes
Male,Yes,No,68,Yes,Yes,Fiber optic,Two year,high,Yes,Yes
Male,No,No,5,No,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,32,No,No,DSL,One year,low,No,No
Male,No,No,43,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,Yes,Yes,72,Yes,No,No,Two year,low,No,No
Male,Yes,No,55,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,52,Yes,No,DSL,One year,low,No,No
Female,No,No,43,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,37,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,64,No,No,DSL,Two year,low,No,Yes
Male,Yes,Yes,3,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,36,No,No,DSL,Two year,low,No,No
Female,Yes,Yes,10,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,41,Yes,No,No,Two year,low,No,No
Male,Yes,Yes,27,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,56,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,6,Yes,No,No,Month-to-month,low,No,No
Male,No,No,3,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,7,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,4,Yes,No,No,Month-to-month,low,No,No
Male,No,No,33,Yes,No,Fiber optic,Two year,high,No,Yes
Female,No,No,27,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,72,Yes,Yes,No,Two year,low,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,No,No,71,No,No,DSL,One year,low,No,Yes
Female,No,No,13,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,25,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,67,Yes,No,DSL,Two year,low,No,No
Male,No,No,1,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,2,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,43,Yes,Yes,No,Two year,low,No,No
Female,No,No,23,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,64,Yes,No,No,Two year,low,No,No
Male,No,Yes,57,Yes,No,No,Two year,low,No,No
Female,Yes,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,72,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,8,Yes,Yes,DSL,Month-to-month,high,Yes,Yes
Female,Yes,No,61,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,64,Yes,Yes,Fiber optic,One year,high,No,No
Male,Yes,No,71,Yes,Yes,No,Two year,low,No,No
Female,Yes,Yes,65,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,3,Yes,No,No,One year,low,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,Yes,30,Yes,No,DSL,One year,high,No,Yes
Male,Yes,Yes,15,Yes,No,DSL,Month-to-month,high,No,Yes
Female,Yes,Yes,8,Yes,No,DSL,Month-to-month,high,No,Yes
Male,No,No,7,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,70,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,Yes,Yes,62,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,Yes,6,Yes,No,No,Month-to-month,low,No,No
Female,Yes,Yes,14,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,22,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,22,Yes,No,No,One year,low,No,No
Male,Yes,Yes,16,Yes,No,DSL,Two year,high,No,Yes
Male,No,No,10,Yes,Yes,No,Two year,low,No,No
Female,No,Yes,13,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,No,20,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,53,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,Yes,11,Yes,No,No,One year,low,No,No
Male,Yes,No,69,Yes,No,No,Two year,low,No,No
Female,No,No,4,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,No,58,No,No,DSL,Month-to-month,low,Yes,Yes
Female,Yes,Yes,16,Yes,No,No,Month-to-month,low,No,No
Male,Yes,No,43,Yes,No,Fiber optic,One year,high,No,No
Female,Yes,No,2,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,14,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,No,53,Yes,No,Fiber optic,One year,high,Yes,Yes
Female,No,No,32,Yes,No,No,One year,low,No,No
Female,Yes,No,34,Yes,Yes,No,Month-to-month,low,No,No
Female,No,No,15,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,7,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,15,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,61,Yes,No,No,One year,low,No,No
Female,No,No,1,No,No,DSL,Month-to-month,low,Yes,No
Female,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,8,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,33,Yes,No,DSL,One year,high,No,Yes
Female,No,No,13,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,1,No,No,DSL,Month-to-month,low,Yes,No
Male,No,No,20,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,3,No,No,DSL,Month-to-month,low,No,No
Female,No,No,13,Yes,No,No,One year,low,No,No
Female,Yes,No,40,Yes,Yes,DSL,Month-to-month,low,No,No
Male,Yes,Yes,43,Yes,Yes,DSL,One year,high,No,Yes
Male,Yes,No,6,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,69,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,Yes,59,Yes,No,No,Two year,low,No,No
Female,Yes,No,20,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,24,Yes,Yes,No,Two year,low,No,No
Male,No,No,59,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,Yes,1,Yes,No,No,Month-to-month,low,No,No
Female,Yes,No,27,Yes,No,Fiber optic,One year,high,No,Yes
Female,No,No,14,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,Yes,Yes,71,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,Yes,13,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,44,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,No,No,33,Yes,No,Fiber optic,One year,high,No,No
Male,Yes,Yes,72,No,No,DSL,Two year,low,No,Yes
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,19,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,64,Yes,No,Fiber optic,One year,high,No,Yes
Male,No,No,2,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,1,No,No,DSL,Month-to-month,low,No,No
Male,No,Yes,61,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,29,Yes,No,No,One year,low,No,No
Male,Yes,No,23,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,57,No,No,DSL,Month-to-month,low,No,Yes
Male,Yes,Yes,72,No,No,DSL,Two year,low,No,No
Male,Yes,No,66,No,No,DSL,Two year,low,No,Yes
Male,Yes,Yes,65,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,8,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,4,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,71,Yes,Yes,No,Two year,low,No,No
Male,Yes,Yes,1,Yes,No,No,One year,low,No,No
Male,Yes,No,4,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,12,Yes,No,No,One year,low,No,No
Male,No,No,24,No,No,DSL,One year,low,No,Yes
Female,Yes,Yes,31,Yes,No,DSL,One year,high,No,Yes
Female,Yes,No,1,Yes,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,30,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,47,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,54,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,50,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,72,Yes,No,No,Two year,low,No,No
Female,No,No,29,Yes,Yes,No,Month-to-month,low,No,No
Male,No,No,2,Yes,Yes,DSL,Month-to-month,low,Yes,No
Female,No,No,10,No,No,DSL,Two year,low,No,No
Male,Yes,No,18,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,No,No,11,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,16,Yes,No,No,Two year,low,No,No
Female,No,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,Yes,41,Yes,No,DSL,One year,high,No,Yes
Female,Yes,No,65,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,13,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,4,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,41,Yes,Yes,DSL,One year,high,No,Yes
Male,No,No,15,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,42,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,No,51,Yes,No,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,2,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,1,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,Yes,32,Yes,Yes,DSL,One year,high,No,Yes
Male,No,No,10,Yes,No,No,Month-to-month,low,No,No
Female,Yes,Yes,67,No,No,DSL,Two year,low,No,Yes
Female,Yes,Yes,61,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,50,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,No,2,Yes,No,DSL,Month-to-month,low,Yes,No
Female,Yes,No,29,No,No,DSL,Month-to-month,low,No,Yes
Male,No,No,3,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,13,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,57,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,31,No,No,DSL,Two year,low,No,Yes
Female,Yes,No,45,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,61,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,50,Yes,Yes,No,Two year,low,No,No
Female,No,No,19,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,59,Yes,No,No,Two year,low,Yes,No
Female,Yes,No,71,Yes,Yes,No,Two year,low,No,No
Female,No,No,16,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,57,Yes,No,DSL,Two year,low,No,No
Male,No,No,1,No,No,DSL,Month-to-month,low,Yes,No
Male,Yes,No,20,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,5,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,52,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,21,Yes,No,DSL,Month-to-month,high,No,Yes
Male,No,No,14,No,No,DSL,Month-to-month,low,No,Yes
Female,No,No,5,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,6,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,10,Yes,No,DSL,Month-to-month,low,No,No
Female,No,Yes,1,Yes,Yes,No,Month-to-month,low,No,No
Female,No,No,68,Yes,Yes,DSL,Month-to-month,low,No,No
Male,Yes,Yes,18,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,22,Yes,Yes,Fiber optic,One year,high,No,No
Female,No,No,20,Yes,No,DSL,Month-to-month,low,No,No
Male,Yes,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,8,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,10,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,24,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,35,Yes,No,DSL,One year,high,No,No
Male,Yes,Yes,23,Yes,No,Fiber optic,One year,high,No,No
Female,No,No,6,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,12,Yes,No,No,Month-to-month,low,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Female,Yes,Yes,71,Yes,No,Fiber optic,Two year,high,No,No
Male,Yes,No,35,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,40,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,No,Yes,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,23,Yes,No,DSL,One year,high,No,Yes
Female,No,No,4,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,4,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,68,No,No,DSL,Two year,high,No,Yes
Male,No,Yes,38,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,Yes,Yes,52,Yes,Yes,No,Two year,low,No,No
Male,Yes,No,32,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,29,Yes,No,DSL,Two year,high,No,Yes
Male,Yes,Yes,38,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,Yes,48,Yes,Yes,DSL,One year,high,No,Yes
Female,No,No,1,Yes,No,No,Month-to-month,low,No,No
Female,No,No,22,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,43,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,No,5,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,5,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,51,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,71,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,38,Yes,No,DSL,One year,high,Yes,Yes
Male,Yes,No,24,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,35,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,54,Yes,Yes,DSL,One year,high,Yes,Yes
Female,Yes,Yes,72,No,No,DSL,Two year,low,No,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,9,Yes,No,DSL,One year,low,No,No
Male,No,No,69,No,No,DSL,Two year,high,No,Yes
Female,Yes,No,52,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,11,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,28,No,No,DSL,Month-to-month,low,No,Yes
Female,No,No,17,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,35,Yes,No,No,Two year,low,No,No
Female,No,No,8,Yes,No,No,One year,low,No,No
Male,No,No,46,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,7,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,2,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,68,Yes,Yes,DSL,One year,high,Yes,Yes
Female,No,No,43,Yes,Yes,Fiber optic,Two year,high,Yes,Yes
Female,No,No,68,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,36,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,63,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,32,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,No,71,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,Yes,66,Yes,Yes,DSL,Month-to-month,high,No,No
Male,No,No,63,Yes,No,No,One year,low,No,No
Female,No,Yes,41,Yes,No,No,One year,low,No,No
Female,No,No,1,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,No,70,Yes,No,No,Two year,low,No,No
Female,No,No,23,No,No,DSL,Month-to-month,low,No,Yes
Female,Yes,No,64,Yes,No,Fiber optic,One year,high,No,Yes
Male,Yes,Yes,37,Yes,Yes,DSL,Two year,high,No,No
Male,No,Yes,17,Yes,No,DSL,One year,low,No,No
Female,No,No,7,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,4,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,21,No,No,DSL,Month-to-month,low,Yes,Yes
Female,No,No,10,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,16,Yes,Yes,DSL,Month-to-month,low,No,No
Male,Yes,No,64,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,No,27,No,No,DSL,Month-to-month,low,Yes,No
Male,Yes,Yes,42,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,Yes,5,Yes,No,No,Month-to-month,low,No,No
Female,No,No,41,Yes,No,Fiber optic,Two year,high,No,Yes
Male,Yes,No,58,Yes,No,DSL,One year,low,No,No
Female,No,No,47,Yes,No,No,Two year,low,No,No
Male,No,No,18,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,5,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,23,Yes,No,DSL,Month-to-month,low,No,Yes
Female,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,Yes,No,71,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,Yes,33,Yes,No,No,One year,low,No,No
Male,No,No,2,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,Yes,24,No,No,DSL,Two year,low,No,No
Female,Yes,Yes,56,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,37,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,43,Yes,Yes,DSL,One year,high,No,Yes
Male,No,No,1,No,No,DSL,Month-to-month,low,No,No
Female,Yes,No,25,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,61,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,17,Yes,Yes,Fiber optic,One year,high,No,No
Female,Yes,No,41,Yes,No,Fiber optic,One year,high,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,Yes,Yes,72,No,No,DSL,Two year,high,No,Yes
Male,No,No,1,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,48,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,No,11,Yes,No,No,Month-to-month,low,Yes,No
Female,Yes,No,55,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,42,No,No,DSL,One year,low,No,Yes
Male,No,No,44,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,Yes,1,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,27,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,27,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,No,No,2,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,19,Yes,No,No,Month-to-month,low,No,No
Female,Yes,No,42,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,66,Yes,Yes,DSL,Two year,high,No,Yes
